date,auc_score,pr_auc
2020-06-01,0.958241556534508,0.010082815474834483
2020-07-01,0.9200530035335688,0.150751564814466
2020-08-01,0.9140326975476839,0.011536539401650937
2020-09-01,0.679737687366167,0.007614424672433276
2020-10-01,0.980836236933798,0.05696198236299984
2020-11-01,0.7932402138299707,0.011624627954689848
2020-12-01,0.8469309322499176,0.021412135171479125
2021-01-01,0.8845048742945101,0.021099957406118173
2021-02-01,0.8713008234688626,0.01560584337342779
2021-03-01,0.910958022147824,0.014337710557602343
2021-04-01,0.9670745168032692,0.058046756811700184
2021-05-01,0.9821609311740891,0.06589056738236979
2021-06-01,0.9586643495531281,0.011875279273833129
2021-07-01,0.8626868414604263,0.04240549924138446
2021-08-01,0.9889759921607055,0.04022314239705544
2021-09-01,0.9559748427672956,0.09009647693366785
2021-10-01,0.9452527161076996,0.03712481577940092
2021-11-01,0.9291481298401714,0.05614591039601774
2021-12-01,0.960656113787566,0.005680449918856058
2022-01-01,0.796692696371153,0.012984720660860613
2022-02-01,0.9692528735632183,0.07483016709986726
2022-03-01,0.8863078810180925,0.0036356792536895556
2022-04-01,0.9515988037727169,0.013072125136600847
2022-05-01,0.956507864144062,0.018974606662482473
2022-06-01,0.9466095967560262,0.02004309132436911
2022-07-01,0.9461913197519929,0.03612085446131164
2022-08-01,0.9589982269503546,0.04345833074679023
2022-09-01,0.8349400871459696,0.05080778677527803
2022-10-01,0.8985823336968375,0.03013967608565486
2022-11-01,0.9591517221747794,0.014548371824323366
2022-12-01,0.9575617752413332,0.034134514519720716
2023-01-01,0.9725531914893617,0.01677606574401183
2023-02-01,0.9904645216279565,0.040153205569392204
2023-03-01,0.7403429725583112,0.05013651501610841
2023-04-01,0.8877136752136753,0.02218069007872851
2023-05-01,0.7885204081632654,0.04021964855305299
2023-06-01,0.9851541797157313,0.058918093487029005
2023-07-01,0.931415620641562,0.06885188318714813
2023-08-01,0.7313440635451505,0.00872695016865091
2023-09-01,0.9499385497746826,0.010662520917089361
2023-10-01,0.9885104636848584,0.14295793804704846
2023-11-01,0.9298989898989899,0.015809364983106644
2023-12-01,0.9465402461166028,0.037141046532681514
2024-01-01,0.9617676767676767,0.024068339074954315
2024-02-01,0.9855497170573969,0.041123002219342536
2024-03-01,0.9989888776541962,0.08333333333333333
2024-04-01,0.983755316994126,0.027708767968852993
2024-05-01,0.9788767036083219,0.29625389226619087
2024-06-01,0.9658968125337655,0.0574630211146857
2024-07-01,0.9816569240072566,0.025068536596845638
2024-08-01,0.9822652156388553,0.0056179775280898875
2024-09-01,0.9719766974688631,0.045281169009136396
2024-10-01,0.9878946310074402,0.06706475640023572
2024-11-01,,0.5
2024-12-01,,0.5
2025-01-01,,0.5
2025-02-01,,0.5
2025-03-01,,0.5
2025-04-01,0.9956026384169498,0.021739130434782608
2025-05-01,,0.5
2025-06-01,,0.5
